#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
2.0,31,17.435769
8.4,86,17.467573
3.9,50,17.487131
10.8,101,17.524024
3.9,50,17.543177
3.9,50,17.561877
3.9,50,17.581362
3.9,50,17.599465
3.9,50,17.618418
3.9,50,17.636372
2.0,31,17.648489
3.9,50,17.667012
3.9,50,17.685934
6.4,66,17.709729
6.6,68,17.734975
3.9,50,17.754089
3.9,50,17.772164
2.0,31,17.784017
3.9,50,17.802704
3.9,50,17.820978
3.9,50,17.839952
2.0,31,17.850799
3.9,50,17.869945
3.9,50,17.888161
2.0,31,17.899946
3.9,50,17.919065
2.0,31,17.929982
3.9,50,17.948905
2.0,31,17.960719
2.0,31,17.971686
3.9,50,17.990703
3.9,50,18.008819
3.9,50,18.027923
3.2,43,18.044307
3.9,50,18.062924
3.9,50,18.081995
2.0,31,18.093041
2.9,40,18.108214
3.9,50,18.127134
2.4,35,18.140372
3.9,50,18.158265
2.0,31,18.170654
3.9,50,18.188887
8.4,86,18.222352
2.0,31,18.23425
3.9,50,18.252294
3.9,50,18.271259
2.0,31,18.282246
3.9,50,18.300926
3.9,50,18.318991
3.9,50,18.338232
2.0,31,18.350092
3.9,50,18.368397
2.0,31,18.380304
2.7,38,18.394149
2.0,31,18.405775
2.7,38,18.420362
3.9,50,18.439299
3.9,50,18.458331
2.0,31,18.469635
3.9,50,18.489105
2.4,35,18.502621
4.0,51,18.520944
3.9,50,18.540017
3.9,50,18.558075
3.9,50,18.577247
6.4,66,18.601404
4.9,60,18.623824
8.4,86,18.656569
3.9,50,18.675054
2.0,31,18.686958
3.9,50,18.706293
6.3,65,18.730074
3.9,50,18.748363
3.9,50,18.767515
3.9,50,18.785944
8.4,86,18.818452
6.4,66,18.842747
3.9,50,18.862768
3.9,50,18.881106
8.4,86,18.913648
8.6,88,18.946077
3.9,50,18.964178
3.9,50,18.983431
3.9,50,19.001721
12.9,122,19.047477
3.9,50,19.066037
3.9,50,19.085241
3.9,50,19.103741
6.0,62,19.127613
3.9,50,19.146223
3.9,50,19.165641
3.9,50,19.183866
4.4,55,19.204324
3.9,50,19.22506
8.4,86,19.256485
3.9,50,19.275727
12.9,122,19.320468
3.9,50,19.339675
3.9,50,19.35845
3.9,50,19.377382
3.9,50,19.395721
4.4,55,19.416281
3.9,50,19.434041
3.9,50,19.453369
3.9,50,19.471828
3.9,50,19.490982
3.9,50,19.509312
3.9,50,19.528288
4.5,56,19.548774
3.9,50,19.566952
4.3,54,19.59182
3.9,50,19.610575
3.9,50,19.62994
3.9,50,19.648214
4.6,57,19.670857
3.9,50,19.689237
3.9,50,19.709117
3.9,50,19.728085
3.9,50,19.747592
3.9,50,19.766196
3.9,50,19.786911
3.9,50,19.805842
4.3,54,19.827726
3.9,50,19.849177
3.9,50,19.869067
3.9,50,19.891444
3.9,50,19.910749
3.9,50,19.928986
3.9,50,19.9481
3.9,50,19.966913
3.9,50,19.985661
3.9,50,20.004117
3.9,50,20.023299
3.9,50,20.043446
3.9,50,20.064157
3.9,50,20.082268
13.6,129,20.132264
3.9,50,20.151574
8.6,88,20.184458
3.9,50,20.204091
4.0,51,20.225731
3.9,50,20.244573
3.9,50,20.263151
4.1,52,20.28241
6.6,68,20.307152
3.9,50,20.326529
6.7,69,20.351635
3.9,50,20.370535
8.4,86,20.403986
8.4,86,20.44291
3.9,50,20.463565
3.9,50,20.481732
3.9,50,20.501231
4.7,58,20.52234
3.9,50,20.541655
3.9,50,20.560123
3.9,50,20.578995
3.9,50,20.597554
3.9,50,20.616364
3.9,50,20.634622
3.9,50,20.653798
3.9,50,20.672202
8.8,90,20.706094
3.9,50,20.724314
3.9,50,20.74333
3.9,50,20.762233
3.9,50,20.78252
3.9,50,20.801184
3.9,50,20.82044
3.9,50,20.839716
3.9,50,20.859602
10.9,102,20.898031
3.9,50,20.917491
3.9,50,20.936157
15.4,138,20.989875
3.9,50,21.008806
3.9,50,21.031667
3.9,50,21.050627
17.9,163,21.113672
6.2,64,21.139655
3.9,50,21.160573
5.0,61,21.184869
6.0,62,21.208392
3.9,50,21.227654
3.9,50,21.245828
3.9,50,21.265056
3.9,50,21.282954
13.8,131,21.333632
4.9,60,21.356499
9.4,96,21.392611
3.9,50,21.411984
3.9,50,21.430517
3.9,50,21.449512
3.9,50,21.4679
3.9,50,21.486689
15.7,141,21.54358
3.9,50,21.561868
17.9,163,21.623394
3.9,50,21.642525
3.9,50,21.661288
9.2,94,21.697298
3.9,50,21.715964
3.9,50,21.735652
3.9,50,21.754209
13.7,130,21.80444
3.9,50,21.822992
4.9,60,21.845905
4.9,60,21.868926
3.9,50,21.888442
3.9,50,21.906994
3.9,50,21.926672
3.9,50,21.945157
3.9,50,21.964563
8.4,86,21.996704
8.4,86,22.029347
3.9,50,22.047765
3.9,50,22.067132
6.1,63,22.090662
3.9,50,22.109688
8.6,88,22.142629
4.4,55,22.163412
8.4,86,22.195682
3.9,50,22.215168
-3.3,50,22.233346
